day_of_year,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,total_rides,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds,miles,female_miles,male_miles,subscriber_miles,customer_miles
41,20140210,2014,02,10,12,-3,4.5,0.00,0.0,13,882,74,799,873,9,745497,191242,547642,738884,6613,814.02,76.95,728.07,805.02,9.0
42,20140211,2014,02,11,14,-8,3.0,0.00,0.0,12,1075,93,952,1045,30,771355,68058,667463,735521,35834,1019.82,102.42,890.56,992.98,26.84
43,20140212,2014,02,12,24,-5,9.5,0.00,0.0,12,1281,148,1109,1257,24,1003353,105264,866913,972177,31176,1270.89,162.65,1080.74,1243.39,27.5
44,20140213,2014,02,13,32,10,21.0,0,0.1,11,1389,170,1179,1349,40,960191,128578,791349,919927,40264,1489.52,208.56,1242.48,1451.04,38.48
45,20140214,2014,02,14,22,12,17.0,0.00,0.0,9,1338,181,1117,1298,40,887250,114288,653501,767789,119461,1304.08,173.99,1095.12,1269.11,34.97
46,20140215,2014,02,15,24,3,13.5,0.04,0.7,9,728,125,525,650,78,484303,84730,299617,384347,99956,734.03,131.33,498.12,629.45,104.58
47,20140216,2014,02,16,29,17,23.0,0,0,10,530,71,376,447,83,467738,115486,208550,324036,143702,527.97,75.0,364.73,439.73,88.24
48,20140217,2014,02,17,28,23,25.5,0.35,5.0,9,475,56,408,464,11,338671,41531,283451,324982,13689,472.08,59.47,394.0,453.47,18.61
49,20140218,2014,02,18,46,16,31.0,0.00,0.0,14,1399,214,1130,1344,55,1100615,152546,848554,1001100,99515,1491.85,237.88,1187.13,1425.01,66.84
50,20140219,2014,02,19,44,30,37.0,0.00,0.0,7,2235,330,1766,2096,139,1548861,258173,1126884,1385057,163804,2443.56,410.41,1879.84,2290.25,153.31
51,20140220,2014,02,20,49,34,41.5,1.16,0.1,6,1005,129,855,984,21,708176,112332,571471,683803,24373,999.01,135.73,824.99,960.72,38.29
52,20140221,2014,02,21,37,26,31.5,0,0.3,4,1378,177,1154,1331,47,1015058,158732,808781,967513,47545,1330.15,201.84,1077.77,1279.61,50.54
53,20140222,2014,02,22,35,21,28.0,0.00,0.0,3,1114,206,731,937,177,876819,161339,447465,608804,268015,1155.68,228.15,747.82,975.97,179.71
54,20140223,2014,02,23,28,15,21.5,0.00,0.0,3,789,160,524,684,105,555993,126137,304750,430887,125106,837.43,188.49,528.68,717.17,120.26
55,20140224,2014,02,24,25,12,18.5,0.00,0.0,2,1539,200,1306,1506,33,928370,136458,766517,902975,25395,1527.11,229.96,1266.59,1496.55,30.56
56,20140225,2014,02,25,22,6,14.0,0.00,0.0,2,1527,182,1292,1474,53,1005384,179398,767978,947376,58008,1490.78,203.94,1225.19,1429.13,61.65
57,20140226,2014,02,26,18,1,9.5,0.00,0.0,2,1139,147,969,1116,23,631112,112557,492674,605231,25881,1016.35,142.32,853.69,996.01,20.34
58,20140227,2014,02,27,18,4,11.0,0,0,2,1111,105,976,1081,30,602850,61334,505500,566834,36016,1000.82,103.61,864.07,967.68,33.14
59,20140228,2014,02,28,30,3,16.5,0.00,0.0,2,1473,198,1213,1411,62,1088060,136217,797542,933759,154301,1405.82,203.3,1143.25,1346.55,59.27
60,20140301,2014,03,01,31,11,21.0,0.29,3.7,3,590,91,453,545,45,384362,61585,267703,330583,53779,569.93,99.1,427.16,526.26,43.67
61,20140302,2014,03,02,14,1,7.5,0.09,1.4,6,329,53,267,320,9,237747,38292,155864,194156,43591,305.24,55.97,247.88,303.85,1.39
62,20140303,2014,03,03,19,-2,8.5,0,0,6,963,103,815,918,45,670687,66539,541663,608202,62485,953.51,113.06,785.06,898.12,55.39
63,20140304,2014,03,04,27,12,19.5,0,0.1,5,1521,200,1262,1462,59,1049259,145089,754064,899153,150106,1518.08,224.71,1222.93,1447.64,70.44
64,20140305,2014,03,05,23,19,21.0,0.15,1.7,5,910,105,777,882,28,664646,73416,553592,627008,37638,910.77,119.66,758.6,878.26,32.51
65,20140306,2014,03,06,33,16,24.5,0.00,0.0,6,1614,235,1280,1515,99,1041774,167187,746807,913994,127780,1669.41,275.56,1304.6,1580.16,89.25
66,20140307,2014,03,07,47,13,30.0,0.00,0.0,5,2522,353,1861,2214,308,1929585,269356,1180893,1450249,479336,2764.36,442.21,2005.19,2447.4,316.96
67,20140308,2014,03,08,38,21,29.5,0.02,0.3,2,827,128,614,742,85,589094,91173,350435,441608,147486,816.64,136.6,613.61,750.21,66.43
68,20140309,2014,03,09,42,19,30.5,0.00,0.0,2,1104,240,707,947,157,910030,269018,414152,683170,226860,1175.76,286.34,708.16,994.5,181.26
69,20140310,2014,03,10,53,40,46.5,0.00,0.0,1,4060,671,2684,3355,705,3539536,550392,1742618,2293010,1246526,4733.17,829.43,3100.82,3930.25,802.92
70,20140311,2014,03,11,50,34,42.0,0.14,0.4,0,3121,472,2349,2821,300,2317813,400783,1538809,1939592,378221,3422.19,542.25,2518.9,3061.15,361.04
71,20140312,2014,03,12,34,14,24.0,0.48,3.2,3,940,106,819,925,15,637772,74186,549759,623945,13827,931.36,108.17,806.24,914.41,16.95
