day_of_year,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,total_rides,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds,miles,female_miles,male_miles,subscriber_miles,customer_miles
159,20140608,2014,06,08,72,54,63.0,0.23,0.0,0,10901,1626,3274,4900,6001,13535075,1394240,2467726,3861966,9673109,13882.28,2102.84,4018.07,6120.91,7761.37
160,20140609,2014,06,09,78,55,66.5,0.00,0.0,0,10932,1984,5790,7774,3158,11193895,1866795,4190012,6056807,5137088,13813.33,2697.26,7073.27,9770.53,4042.8
161,20140610,2014,06,10,66,56,61.0,1.26,0.0,0,4815,906,3248,4154,661,3743515,673552,1989917,2663469,1080046,5635.92,1150.39,3637.5,4787.89,848.03
162,20140611,2014,06,11,67,57,62.0,0.52,0.0,0,7629,1523,4924,6447,1182,6516144,1316023,3452780,4768803,1747341,9333.33,1937.72,5784.08,7721.8,1611.53
163,20140612,2014,06,12,79,58,68.5,0,0.0,0,10814,2123,6160,8285,2529,10472564,1964195,4436402,6402098,4070466,13651.24,2823.86,7437.49,10262.17,3389.07
164,20140613,2014,06,13,75,55,65.0,0.00,0.0,0,13019,2242,6518,8761,4258,14000510,1932125,4645801,6578755,7421755,16738.31,2934.33,7906.68,10842.22,5896.09
165,20140614,2014,06,14,79,52,65.5,0.00,0.0,0,16562,2320,4621,6941,9621,22565095,2317402,3858684,6176086,16389009,22152.57,3115.45,5948.95,9064.4,13088.17
166,20140615,2014,06,15,84,60,72.0,0.00,0.0,0,10778,1452,3316,4768,6010,13632489,1284966,2521515,3806481,9826008,13554.86,1917.54,3985.35,5902.89,7651.97
167,20140616,2014,06,16,88,67,77.5,0.00,0.0,0,12935,2287,6348,8635,4300,14033141,2004850,4531558,6536408,7496733,16454.28,3162.6,7781.9,10944.5,5509.78
168,20140617,2014,06,17,91,77,84.0,0,0.0,0,11592,2156,6276,8432,3160,11401438,1878780,4289495,6168275,5233163,14677.42,2950.52,7464.15,10414.67,4262.75
169,20140618,2014,06,18,82,61,71.5,0.65,0.0,0,8053,1581,4865,6448,1605,7115375,1258735,3385056,4644836,2470539,9871.54,2122.43,5699.53,7822.99,2048.55
170,20140619,2014,06,19,79,59,69.0,0.32,0.0,0,10301,2067,5826,7893,2408,9786395,1775928,4215785,5991713,3794682,12826.82,2762.2,7007.33,9769.53,3057.29
171,20140620,2014,06,20,85,63,74.0,0.01,0.0,0,12424,2124,6314,8439,3985,12751345,1775837,4533150,6310100,6441245,15745.52,2760.28,7548.46,10309.84,5435.68
172,20140621,2014,06,21,84,60,72.0,1.28,0.0,0,11989,1747,3427,5174,6815,16408038,1562234,2791688,4353922,12054116,15905.12,2241.61,4164.99,6406.6,9498.52
173,20140622,2014,06,22,82,63,72.5,0.00,0.0,0,13370,1950,3741,5693,7677,17324358,1844839,2806570,4652376,12671982,17226.87,2541.05,4564.54,7106.95,10119.92
174,20140623,2014,06,23,81,66,73.5,0.05,0.0,0,9598,1606,5260,6866,2732,9353305,1312089,3638768,4950857,4402448,11880.39,2121.68,6296.67,8418.35,3462.04
175,20140624,2014,06,24,87,70,78.5,0.41,0.0,0,10322,1841,5612,7453,2869,10205741,1539940,3999204,5539144,4666597,12903.94,2483.86,6836.99,9320.85,3583.09
176,20140625,2014,06,25,80,59,69.5,0,0.0,0,11450,2159,6382,8541,2909,10724294,1810611,4345466,6156077,4568217,14382.55,2814.35,7630.44,10444.79,3937.76
177,20140626,2014,06,26,78,59,68.5,0.00,0.0,0,11612,2076,6436,8512,3100,11699066,1730097,4549871,6279968,5419098,14725.19,2756.58,7796.79,10553.37,4171.82
178,20140627,2014,06,27,88,59,73.5,0,0.0,0,14661,2309,6587,8896,5765,16876941,1976451,4843251,6819702,10057239,18993.17,3021.64,7941.57,10963.21,8029.96
179,20140628,2014,06,28,87,71,79.0,0.00,0.0,0,14537,1942,3990,5932,8605,19947865,1783976,3183955,4967931,14979934,18950.9,2495.45,4937.95,7433.4,11517.5
180,20140629,2014,06,29,85,69,77.0,0.07,0.0,0,14777,1963,4039,6002,8775,21063132,1929425,3513455,5442880,15620252,19778.25,2655.55,5061.06,7716.61,12061.64
181,20140630,2014,06,30,87,67,77.0,2.60,0.0,0,9426,1557,4913,6470,2956,9246830,1238527,3293118,4531645,4715185,11333.77,1972.68,5561.8,7534.48,3799.29
182,20140701,2014,07,01,80,67,73.5,0,0.0,0,13279,2531,6952,9483,3796,13138994,2141437,4882084,7023521,6115473,16779.16,3409.1,8326.87,11735.97,5043.19
183,20140702,2014,07,02,70,56,63.0,0.12,0.0,0,9657,1780,5702,7482,2175,8371844,1460298,3603676,5063974,3307870,11646.5,2372.56,6459.89,8832.45,2814.05
184,20140703,2014,07,03,76,56,66.0,0.07,0.0,0,13072,2300,6311,8612,4460,13818058,1889846,4430338,6320632,7497426,16840.57,3051.52,7644.2,10696.17,6144.4
185,20140704,2014,07,04,79,58,68.5,0.00,0.0,0,15283,1662,3264,4928,10355,24254697,1561933,2742535,4305631,19949066,20044.84,2186.06,4103.64,6291.0,13753.84
186,20140705,2014,07,05,77,60,68.5,0,0.0,0,14301,1435,3059,4494,9807,20963149,1333973,2467522,3801495,17161654,18679.04,1868.29,3812.33,5680.62,12998.42
187,20140706,2014,07,06,87,63,75.0,0.00,0.0,0,12603,1594,3176,4770,7833,17393047,1434473,2419460,3853933,13539114,15931.88,2033.58,3794.6,5828.18,10103.7
188,20140707,2014,07,07,88,71,79.5,0.63,0.0,0,12427,2228,6069,8297,4130,13288904,1999126,4273483,6272609,7016295,15842.35,3063.98,7365.43,10429.41,5412.94
189,20140708,2014,07,08,81,66,73.5,0.54,0.0,0,11942,2293,6359,8649,3293,11758545,1911942,4537556,6446077,5312468,15299.98,3115.11,7791.5,10902.3,4397.68
190,20140709,2014,07,09,80,62,71.0,0.00,0.0,0,13452,2613,6927,9541,3911,13370518,2328903,4842049,7171337,6199181,17361.82,3643.94,8590.24,12234.54,5127.28
191,20140710,2014,07,10,79,60,69.5,0.00,0.0,0,14504,2640,7096,9737,4767,15075675,2448454,5054987,7503626,7572049,18696.63,3702.65,8625.17,12328.18,6368.45
192,20140711,2014,07,11,81,60,70.5,0.01,0.0,0,12702,2124,6153,8280,4422,13607896,1740299,4230098,5973380,7634516,15965.2,2758.82,7243.32,10004.74,5960.46
193,20140712,2014,07,12,80,70,75.0,0.47,0.0,0,7904,1072,2754,3827,4077,9591690,965349,2132200,3098019,6493671,9634.19,1303.22,3220.55,4524.17,5110.02
194,20140713,2014,07,13,85,68,76.5,0.01,0.0,0,13795,2163,4279,6442,7353,18360781,1952560,3470945,5423505,12937276,18501.82,2880.65,5392.32,8272.97,10228.85
195,20140714,2014,07,14,80,61,70.5,0.20,0.0,0,11422,2092,6072,8165,3257,11450380,1738203,4248073,5986919,5463461,14540.79,2899.66,7503.98,10404.28,4136.51
196,20140715,2014,07,15,70,55,62.5,0.05,0.0,0,11920,2341,6718,9062,2858,10993603,1886904,4696135,6584747,4408856,15109.13,3190.09,8272.15,11463.61,3645.52
197,20140716,2014,07,16,72,55,63.5,0.00,0.0,0,13249,2530,7148,9680,3569,13005795,2182440,5044008,7227583,5778212,16959.27,3486.85,8909.5,12397.84,4561.43
198,20140717,2014,07,17,78,54,66.0,0.00,0.0,0,13716,2695,7263,9958,3758,13546008,2261666,5099987,7361653,6184355,17687.32,3669.12,8912.05,12581.17,5106.15
199,20140718,2014,07,18,79,59,69.0,0.00,0.0,0,15019,2528,7329,9857,5162,16371757,2221430,5316966,7538396,8833361,19605.37,3380.78,9001.9,12382.68,7222.69
200,20140719,2014,07,19,80,57,68.5,0.00,0.0,0,17849,2464,4706,7168,10681,24998452,2271514,3732638,5989411,19009041,24321.62,3385.08,5867.56,9252.64,15068.98
201,20140720,2014,07,20,82,60,71.0,0.00,0.0,0,14680,2079,4160,6239,8441,20135133,1949102,3377891,5326993,14808140,19493.92,2714.66,5149.91,7864.57,11629.35
202,20140721,2014,07,21,86,63,74.5,0.00,0.0,0,13439,2524,6871,9395,4044,14185335,2117489,4839207,6956696,7228639,17153.52,3348.38,8403.69,11752.07,5401.45
203,20140722,2014,07,22,90,69,79.5,0.01,0.0,0,12467,2398,6697,9095,3372,12223296,2032378,4776646,6809024,5414272,15730.74,3194.26,8180.68,11374.94,4355.8
204,20140723,2014,07,23,75,59,67.0,0.00,0.0,0,12748,2578,6917,9495,3253,12286139,2196161,4907347,7103508,5182631,16460.87,3371.49,8540.27,11911.76,4549.11
205,20140724,2014,07,24,75,57,66.0,0.00,0.0,0,13975,2566,7312,9878,4097,14319164,2144780,5162660,7307440,7011724,18159.38,3424.86,9067.75,12492.61,5666.77
206,20140725,2014,07,25,75,55,65.0,0,0.0,0,13055,2236,6532,8768,4287,13700596,1861940,4663222,6525162,7175434,16907.42,2968.86,8013.25,10982.11,5925.31
207,20140726,2014,07,26,84,68,76.0,0.00,0.0,0,14823,2141,4281,6422,8401,20643842,2081236,3445552,5526788,15117054,20060.06,2915.51,5356.7,8272.21,11787.85
208,20140727,2014,07,27,87,65,76.0,0.02,0.0,0,13880,1935,4029,5964,7916,18933841,1734774,3316439,5051213,13882628,17855.85,2484.36,4850.71,7335.07,10520.78
209,20140728,2014,07,28,73,59,66.0,0.00,0.0,0,12632,2259,6761,9020,3612,12228233,1819895,4648909,6468804,5759429,16050.92,2980.63,8277.65,11258.28,4792.64
210,20140729,2014,07,29,81,58,69.5,0.01,0.0,0,12711,2449,7134,9583,3128,12032843,2056983,5115566,7172549,4860294,16043.61,3354.69,8664.23,12018.92,4024.69
211,20140730,2014,07,30,79,59,69.0,0.00,0.0,0,13536,2506,7359,9865,3671,13147724,2051204,5184031,7235235,5912489,17162.6,3376.41,8995.82,12372.23,4790.37
212,20140731,2014,07,31,84,59,71.5,0.00,0.0,0,14298,2574,7054,9628,4670,15065274,2277915,5106529,7384444,7680830,18261.28,3477.42,8557.75,12035.17,6226.11
213,20140801,2014,08,01,85,62,73.5,0.15,0.0,0,13399,2222,6500,8722,4677,14034605,1744928,4490194,6235122,7799483,16749.95,2850.28,7736.84,10587.12,6162.83
214,20140802,2014,08,02,86,59,72.5,0.00,0.0,0,17237,2336,4422,6758,10479,24300154,2212179,3555486,5767665,18532489,23483.89,3140.76,5627.69,8768.45,14715.44
215,20140803,2014,08,03,87,62,74.5,0.00,0.0,0,11007,1516,3128,4644,6363,14362266,1382599,2322675,3705274,10656992,13755.2,1909.98,3696.56,5606.54,8148.66
216,20140804,2014,08,04,87,67,77.0,2.76,0.0,0,11492,2031,5861,7892,3600,11590555,1743195,4077922,5821117,5769438,14016.74,2670.46,6926.07,9596.53,4420.21
217,20140805,2014,08,05,80,64,72.0,0,0.0,0,12713,2344,6894,9236,3477,12549835,2026389,4647710,6671108,5878727,15962.91,3160.6,8309.88,11466.52,4496.39
218,20140806,2014,08,06,80,62,71.0,0.00,0.0,0,13802,2562,7044,9606,4196,13649371,2193643,4949224,7142505,6506866,17501.23,3541.97,8557.5,12098.53,5402.7
219,20140807,2014,08,07,81,61,71.0,0.00,0.0,0,13810,2382,6973,9354,4456,14057810,2012620,4712110,6723586,7334224,17564.38,3270.31,8475.43,11744.13,5820.25
220,20140808,2014,08,08,82,66,74.0,0.00,0.0,0,14308,2337,6768,9106,5202,15185500,1930127,4836413,6767345,8418155,18198.28,3073.76,8124.01,11199.15,6999.13
221,20140809,2014,08,09,80,66,73.0,0.00,0.0,0,16612,2237,4490,6726,9886,22671889,2068424,3621131,5687319,16984570,21906.63,2993.48,5515.61,8505.72,13400.91
222,20140810,2014,08,10,81,69,75.0,0.00,0.0,0,14206,1965,3812,5778,8428,19246243,1830065,2943523,4774674,14471569,18318.19,2585.62,4737.65,7324.65,10993.54
223,20140811,2014,08,11,82,67,74.5,0.85,0.0,0,11015,1800,5423,7224,3791,11298380,1484826,3653394,5138607,6159773,13286.43,2391.0,6454.36,8845.83,4440.6
224,20140812,2014,08,12,70,61,65.5,0.07,0.0,0,9909,1960,5876,7836,2073,8095144,1490292,3781647,5271939,2823205,12178.05,2546.37,6953.95,9500.32,2677.73
225,20140813,2014,08,13,82,57,69.5,0.00,0.0,0,13776,2519,7191,9710,4066,13416219,2215622,4980633,7196255,6219964,17600.86,3503.64,8793.68,12297.32,5303.54
226,20140814,2014,08,14,72,57,64.5,0.00,0.0,0,13482,2467,7176,9642,3840,13529684,2038442,4975216,7012023,6517661,17471.39,3345.69,8837.28,12179.83,5291.56
227,20140815,2014,08,15,78,52,65.0,0.00,0.0,0,14549,2412,6875,9287,5262,15752613,2105469,4850731,6956200,8796413,18348.05,3297.98,8222.74,11520.72,6827.33
228,20140816,2014,08,16,82,62,72.0,0.00,0.0,0,14970,2043,4273,6308,8662,19679803,1878297,3402858,5187128,14492675,19028.21,2581.18,5221.55,7795.75,11232.46
229,20140817,2014,08,17,71,64,67.5,0,0.0,0,10862,1577,3196,4773,6089,13784784,1426056,2315875,3741931,10042853,12927.73,1944.63,3593.54,5538.17,7389.56
230,20140818,2014,08,18,83,65,74.0,0.00,0.0,0,13282,2389,6736,9125,4157,13582498,1923612,4575274,6498886,7083612,16492.61,3197.29,8185.01,11382.3,5110.31
231,20140819,2014,08,19,86,69,77.5,0.09,0.0,0,10299,1950,6106,8055,2244,9183965,1546393,4041796,5586117,3597848,12622.14,2563.23,7330.9,9891.28,2730.86
232,20140820,2014,08,20,86,66,76.0,0.00,0.0,0,13399,2585,6883,9470,3929,13571685,2075518,4946431,7023020,6548665,16731.97,3428.98,8254.88,11685.35,5046.62
233,20140821,2014,08,21,79,70,74.5,0.98,0.0,0,6081,988,3559,4547,1534,5268941,748155,2323620,3071775,2197166,6998.16,1205.35,4036.4,5241.75,1756.41
234,20140822,2014,08,22,86,72,79.0,1.58,0.0,0,11924,2025,5965,7991,3933,11643364,1724297,3993592,5719103,5924261,14706.59,2621.24,7016.39,9638.58,5068.01
235,20140823,2014,08,23,86,68,77.0,0.34,0.0,0,9948,1553,3185,4735,5213,12423798,1400217,2256008,3651452,8772346,12526.57,1971.49,3830.07,5797.93,6728.64
236,20140824,2014,08,24,88,70,79.0,0.00,0.0,0,13550,1994,3888,5872,7678,17973284,1765762,3064054,4811613,13161671,17319.33,2588.47,4763.16,7338.01,9981.32
237,20140825,2014,08,25,88,71,79.5,0.01,0.0,0,9829,1836,5571,7394,2435,8930963,1466762,3657751,5107429,3823534,11953.01,2340.58,6644.13,8972.2,2980.81
238,20140826,2014,08,26,85,71,78.0,0.12,0.0,0,11699,2329,6768,9090,2609,10221854,1829798,4447806,6271189,3950665,14433.67,3060.82,8177.03,11230.48,3203.19
239,20140827,2014,08,27,82,67,74.5,0.00,0.0,0,12458,2487,7088,9573,2885,11073963,2023645,4853828,6872553,4201410,15290.99,3262.08,8318.7,11575.87,3715.12
240,20140828,2014,08,28,77,67,72.0,0,0.0,0,12481,2364,7013,9377,3104,11348257,1868870,4858969,6727839,4620418,15539.6,3082.5,8280.27,11362.77,4176.83
241,20140829,2014,08,29,86,71,78.5,0.08,0.0,0,11930,2007,6211,8218,3712,11760036,1670912,4211633,5882545,5877491,14599.51,2530.53,7211.82,9742.35,4857.16
242,20140830,2014,08,30,83,70,76.5,0.27,0.0,0,12320,1556,3336,4892,7428,15990531,1267687,2462414,3730101,12260430,15340.25,1960.4,3866.65,5827.05,9513.2
243,20140831,2014,08,31,85,68,76.5,0.00,0.0,0,15768,1553,3239,4792,10976,23791281,1482277,2558315,4040592,19750689,20440.25,2007.15,3968.17,5975.32,14464.93
244,20140901,2014,09,01,83,70,76.5,0.36,0.0,0,11358,1413,3045,4458,6900,14514244,1197748,2238922,3436670,11077574,14131.4,1799.67,3591.48,5391.15,8740.25
245,20140902,2014,09,02,82,67,74.5,0.01,0.0,0,11590,2151,6586,8738,2852,10534061,1704816,4538278,6243957,4290104,14422.01,2866.44,7929.01,10796.41,3625.6
246,20140903,2014,09,03,83,61,72.0,0.00,0.0,0,11923,2344,6968,9314,2609,10873678,1984352,4780530,6765751,4107927,14966.87,3153.05,8427.25,11581.47,3385.4
247,20140904,2014,09,04,85,71,78.0,0.26,0.0,0,9802,1928,6176,8105,1697,8281502,1530564,4097533,5628949,2652553,11841.57,2465.37,7229.84,9696.17,2145.4
248,20140905,2014,09,05,88,64,76.0,0.50,0.0,0,8805,1565,5270,6837,1968,7766654,1247863,3333120,4581668,3184986,10080.76,1889.53,5896.69,7787.16,2293.6
249,20140906,2014,09,06,75,60,67.5,0.00,0.0,0,14097,2259,4328,6587,7510,17913716,1988639,3252592,5241231,12672485,18615.31,3059.79,5318.11,8377.9,10237.41
250,20140907,2014,09,07,80,54,67.0,0.00,0.0,0,12489,1931,3797,5728,6761,16028116,1709957,3131135,4841092,11187024,16905.44,2581.56,4782.35,7363.91,9541.53
251,20140908,2014,09,08,77,55,66.0,0.00,0.0,0,11577,2243,6487,8736,2841,11033924,1816857,4521870,6343730,4690194,14822.04,3043.42,8021.54,11069.75,3752.29
252,20140909,2014,09,09,79,63,71.0,0.01,0.0,0,11284,2228,6692,8920,2364,9853091,1751616,4459646,6211262,3641829,14057.03,2941.38,8018.28,10959.66,3097.37
253,20140910,2014,09,10,80,56,68.0,1.31,0.0,0,6004,1214,3997,5211,793,4852840,1096656,2665353,3762009,1090831,7320.26,1464.28,4716.28,6180.56,1139.7
254,20140911,2014,09,11,56,50,53.0,0.00,0.0,0,8905,1768,5972,7743,1162,6703728,1458879,3742919,5204448,1499280,10753.05,2263.54,6933.77,9199.18,1553.87
255,20140912,2014,09,12,55,44,49.5,0.13,0.0,0,5350,941,3714,4655,695,4060504,643503,2396040,3039543,1020961,6066.77,1104.38,4103.88,5208.26,858.51
256,20140913,2014,09,13,59,41,50.0,0.00,0.0,0,9295,1640,3333,4973,4322,10339209,1343798,2349753,3693551,6645658,11601.54,1998.47,3865.33,5863.8,5737.74
257,20140914,2014,09,14,65,42,53.5,0.00,0.0,0,10164,1634,3514,5148,5016,11852133,1434845,2522511,3957356,7894777,12795.25,2168.44,4335.59,6504.03,6291.22
258,20140915,2014,09,15,62,51,56.5,0,0.0,0,8863,1714,5790,7506,1357,6882242,1258536,3738417,4997724,1884518,10640.42,2192.34,6747.34,8940.62,1699.8
259,20140916,2014,09,16,68,44,56.0,0.00,0.0,0,10454,2128,6465,8593,1861,8837615,1774916,4376697,6151613,2686002,13278.37,2839.39,7911.28,10750.67,2527.7
260,20140917,2014,09,17,70,48,59.0,0.00,0.0,0,10683,2202,6550,8753,1930,9192349,1808743,4395404,6205171,2987178,13384.31,2891.09,7937.07,10829.74,2554.57
261,20140918,2014,09,18,70,53,61.5,0.00,0.0,0,10549,2014,6395,8409,2140,9000557,1601158,4237796,5838954,3161603,12922.75,2626.04,7631.51,10257.55,2665.2
262,20140919,2014,09,19,78,53,65.5,0.00,0.0,0,11847,2127,6439,8566,3281,11065632,1746144,4263501,6009645,5055987,14783.47,2828.76,7663.98,10492.74,4290.73
263,20140920,2014,09,20,77,63,70.0,0.12,0.0,0,8933,1448,3259,4707,4226,10310685,1131648,2273656,3405304,6905381,10945.11,1775.15,3859.06,5634.21,5310.9
264,20140921,2014,09,21,69,51,60.0,0,0.0,0,8014,1313,2939,4252,3762,9116110,1062962,2068919,3131881,5984229,9616.03,1597.08,3368.72,4965.8,4650.23
265,20140922,2014,09,22,67,46,56.5,0.00,0.0,0,10187,2045,6185,8231,1956,8703738,1607193,4100829,5709065,2994673,12604.54,2656.89,7399.43,10057.9,2546.64
266,20140923,2014,09,23,74,51,62.5,0.00,0.0,0,10717,2165,6691,8857,1860,9396672,1780680,4463690,6245227,3151445,13397.47,2887.25,7977.24,10865.62,2531.85
267,20140924,2014,09,24,77,54,65.5,0.00,0.0,0,10700,2297,6651,8948,1752,8934920,1895765,4392207,6287972,2646948,13322.23,3067.04,8011.4,11078.44,2243.79
268,20140925,2014,09,25,74,56,65.0,0.00,0.0,0,10784,2132,6473,8607,2177,8989655,1722131,4196511,5920078,3069577,13361.23,2822.07,7726.2,10549.9,2811.33
269,20140926,2014,09,26,79,51,65.0,0.00,0.0,0,12021,2111,6403,8514,3507,11280470,1673759,4283437,5957196,5323274,14968.13,2687.67,7575.88,10263.55,4704.58
270,20140927,2014,09,27,79,54,66.5,0.00,0.0,0,12363,1870,3908,5778,6585,16263049,1579200,2997749,4576949,11686100,16303.88,2425.22,4812.08,7237.3,9066.58
271,20140928,2014,09,28,78,53,65.5,0.00,0.0,0,11156,1774,3594,5368,5788,13337779,1507278,2599103,4106381,9231398,14385.06,2270.4,4389.02,6659.42,7725.64
272,20140929,2014,09,29,83,53,68.0,0.01,0.0,0,10377,1989,6128,8117,2260,9362198,1700426,4122394,5822820,3539378,12840.04,2671.79,7309.45,9981.24,2858.8
273,20140930,2014,09,30,58,47,52.5,0,0.0,0,8222,1656,5758,7416,806,5869747,1188865,3553070,4743195,1126552,9555.45,2025.44,6570.52,8597.36,958.09
274,20141001,2014,10,01,70,49,59.5,0.00,0.0,0,10149,2104,6761,8866,1283,8039281,1699381,4450806,6150837,1888444,12617.71,2749.02,8096.74,10846.57,1771.14
275,20141002,2014,10,02,72,63,67.5,0.32,0.0,0,8668,1709,5863,7573,1095,6354829,1227681,3632553,4861247,1493582,10088.23,2066.82,6678.39,8746.21,1342.02
276,20141003,2014,10,03,65,43,54.0,0.68,0.0,0,5957,1053,3983,5038,919,4439743,822340,2355423,3178907,1260836,6538.5,1206.18,4229.49,5436.94,1101.56
277,20141004,2014,10,04,47,35,41.0,0.06,0,0,2944,641,1786,2427,517,2149114,453045,1000807,1453852,695262,3158.4,696.99,1860.96,2557.95,600.45
278,20141005,2014,10,05,55,37,46.0,0.01,0.0,0,5702,1058,2500,3558,2144,5701886,849308,1628072,2477380,3224506,6718.43,1244.63,2824.5,4069.13,2649.3
279,20141006,2014,10,06,61,42,51.5,0.01,0.0,0,8379,1758,5545,7303,1076,6546729,1285990,3563368,4849358,1697371,9937.85,2178.46,6375.86,8554.32,1383.53
280,20141007,2014,10,07,66,48,57.0,0,0.0,0,9542,1945,6320,8268,1274,7694818,1502061,4162534,5666278,2028540,11356.92,2482.79,7303.98,9788.51,1568.41
281,20141008,2014,10,08,65,44,54.5,0.00,0.0,0,9734,1951,6437,8392,1342,7535997,1453212,4117763,5579533,1956464,11788.34,2511.6,7502.05,10018.95,1769.39
282,20141009,2014,10,09,62,43,52.5,0.00,0.0,0,9179,1832,6253,8085,1094,7044349,1418020,3911056,5329076,1715273,10836.59,2259.52,7139.88,9399.4,1437.19
283,20141010,2014,10,10,58,39,48.5,0.00,0.0,0,9159,1594,5715,7309,1850,7604458,1182442,3648344,4830786,2773672,10810.99,1895.17,6513.93,8409.1,2401.89
284,20141011,2014,10,11,59,36,47.5,0.00,0.0,0,9389,1557,3051,4608,4781,11405136,1281619,2105889,3387508,8017628,12058.92,1916.36,3509.74,5426.1,6632.82
285,20141012,2014,10,12,63,38,50.5,0.01,0.0,0,8578,1321,2981,4302,4276,11571819,1266503,2176570,3443073,8128746,10870.87,1670.03,3451.23,5121.26,5749.61
286,20141013,2014,10,13,67,56,61.5,0.64,0.0,0,5898,1060,3716,4776,1122,4770039,786334,2288201,3074535,1695504,6659.78,1262.02,4095.59,5357.61,1302.17
287,20141014,2014,10,14,65,52,58.5,0.65,0.0,0,2856,468,2113,2582,274,1898117,335094,1241855,1577749,320368,3023.25,542.89,2177.75,2721.6,301.65
288,20141015,2014,10,15,55,50,52.5,0.05,0.0,0,6208,1268,4582,5851,357,4194860,982499,2760832,3743516,451344,7026.68,1512.87,5054.72,6567.77,458.91
289,20141016,2014,10,16,56,50,53.0,0,0.0,0,7665,1486,5416,6902,763,5673602,1205847,3300572,4506419,1167183,8916.54,1815.55,6144.3,7959.85,956.69
290,20141017,2014,10,17,62,48,55.0,0,0.0,0,8469,1538,5340,6879,1590,7422664,1205924,3583102,4803862,2618802,9927.84,1851.44,6023.15,7876.79,2051.05
291,20141018,2014,10,18,50,36,43.0,0.01,0.0,0,4371,754,2219,2973,1398,3984234,608703,1401935,2010638,1973596,4885.33,869.27,2378.97,3248.24,1637.09
292,20141019,2014,10,19,54,33,43.5,0.00,0.0,0,6612,1169,2764,3933,2679,7394637,937063,1888304,2825367,4569270,7860.59,1419.39,3097.02,4516.41,3344.18
293,20141020,2014,10,20,65,46,55.5,0.01,0.0,0,8538,1713,5548,7261,1277,6936502,1288728,3556334,4845062,2091440,9970.61,2098.32,6323.99,8422.31,1548.3
294,20141021,2014,10,21,53,45,49.0,0.00,0.0,0,7665,1659,5492,7153,512,5242448,1161743,3401230,4563763,678685,8852.35,1996.45,6246.61,8243.6,608.75
295,20141022,2014,10,22,56,35,45.5,0.00,0.0,0,8212,1738,5714,7452,760,5862124,1258886,3472130,4731016,1131108,9591.97,2124.22,6525.4,8649.62,942.35
296,20141023,2014,10,23,59,36,47.5,0.00,0.0,0,8032,1660,5671,7334,698,5706862,1296688,3466209,4765766,941096,9183.31,2044.38,6299.94,8345.86,837.45
297,20141024,2014,10,24,67,52,59.5,0.00,0.0,0,8838,1657,5589,7240,1598,8786906,1557321,4411341,5957495,2829411,10564.56,2055.81,6449.15,8488.04,2076.52
298,20141025,2014,10,25,72,49,60.5,0.00,0.0,0,11010,1687,3757,5438,5572,13928786,1427475,2857215,4277170,9651616,14252.08,2198.45,4588.8,6781.57,7470.51
299,20141026,2014,10,26,64,42,53.0,0.00,0.0,0,8069,1309,2788,4094,3975,9679394,1139372,1895728,3031957,6647437,10011.91,1647.07,3294.44,4938.05,5073.86
300,20141027,2014,10,27,77,51,64.0,0.00,0.0,0,9997,1849,6063,7912,2085,8894667,1550938,4136831,5684660,3210007,12193.04,2402.81,7194.19,9595.46,2597.58
301,20141028,2014,10,28,68,45,56.5,0,0.0,0,8524,1638,5804,7442,1082,6234459,1190465,3524702,4715167,1519292,10183.15,2072.04,6594.57,8666.61,1516.54
302,20141029,2014,10,29,49,36,42.5,0.00,0.0,0,7509,1528,5325,6851,658,4993259,1060205,3132022,4186453,806806,8509.33,1847.65,5835.41,7679.75,829.58
303,20141030,2014,10,30,51,32,41.5,0.00,0.0,0,7450,1374,5403,6775,675,5071594,968069,3147674,4112791,958803,8351.65,1644.7,5851.27,7492.51,859.14
304,20141031,2014,10,31,47,33,40.0,0.03,0.1,0,4010,694,3063,3757,253,2555151,445629,1813105,2258734,296417,4058.03,763.69,3012.2,3775.89,282.14
305,20141101,2014,11,01,43,29,36.0,0.00,0.0,0,3621,690,1980,2670,951,3525859,552770,1283028,1835798,1690061,3972.36,749.37,2078.62,2827.99,1144.37
306,20141102,2014,11,02,51,25,38.0,0.00,0.0,0,4460,875,2116,2987,1473,4212807,623138,1330474,1948527,2264280,5113.22,1045.38,2306.27,3345.67,1767.55
307,20141103,2014,11,03,62,43,52.5,0.00,0.0,0,7503,1440,5309,6749,754,5773059,1321045,3317580,4638625,1134434,8684.73,1755.94,5925.14,7681.08,1003.65
308,20141104,2014,11,04,60,44,52.0,0,0.0,0,6867,1402,5072,6474,393,4663427,994455,3044402,4038857,624570,7741.75,1612.03,5617.03,7229.06,512.69
309,20141105,2014,11,05,60,34,47.0,0,0.0,0,7769,1625,5490,7116,653,5567664,1166141,3365388,4532237,1035427,8881.72,1944.34,6145.58,8090.69,791.03
310,20141106,2014,11,06,51,38,44.5,0,0.0,0,5858,1161,4401,5563,295,3817634,813752,2602446,3417103,400531,6293.86,1308.15,4625.93,5934.83,359.03
311,20141107,2014,11,07,43,29,36.0,0.00,0.0,0,6158,1131,4433,5567,591,4392283,776296,2615515,3393040,999243,6850.86,1309.36,4790.48,6101.01,749.85
