week_of_year,date,year,month,day,max_temp,min_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_minutes,female_seconds,male_seconds,subscriber_seconds,customer_seconds,total_miles,female_miles,male_miles,subscriber_miles,customer_miles
35,20140902,2014,09,02,86,71,75.57,0.72,0.0,0,87905,13531,36518,50048,37857,99012373,11215955,25722359,36934257,62078116,109764.01,17508.77,43166.1,60670.92,49093.09
36,20140909,2014,09,09,88,71,71.07,0.77,0.0,0,79977,14498,39718,54227,25750,81750681,12029848,27576426,39613683,42136998,101289.02,19134.1,47694.06,66836.02,34453.0
37,20140916,2014,09,16,80,56,55.21,1.44,0.0,0,59035,11039,32785,43829,15206,53528271,9011133,21791690,30806244,22722027,72455.66,14030.84,38613.47,52647.12,19808.54
38,20140923,2014,09,23,78,63,62.14,0.12,0.0,0,70930,13314,38458,51775,19155,66785743,10738528,25803795,36545247,30240496,87653.68,17262.26,45837.01,63103.56,24550.12
39,20140930,2014,09,30,83,56,64.0,0.01,0.0,0,75623,13829,38915,52748,22875,74037818,11267424,26144471,37414591,36623227,94736.02,17969.63,46394.55,64367.21,30368.81
40,20141007,2014,10,07,72,63,53.79,1.08,0.0,0,51341,10268,32758,43033,8308,40926400,7839806,20793563,28637859,12288541,60416.04,12624.89,37369.92,49999.63,10416.41
41,20141014,2014,10,14,67,56,53.36,1.3,0.0,0,54793,9783,30266,40054,14739,51829915,7723224,19489678,27222260,24607655,66048.74,12057.59,34390.17,46454.02,19594.72
42,20141021,2014,10,21,65,50,50.21,0.07,0.0,0,49528,9587,31361,40952,8576,40848947,7390507,19892309,27298627,13550320,57439.94,11563.29,35268.76,46834.97,10604.97
43,20141028,2014,10,28,77,52,55.21,0.0,0.0,0,62682,11538,35386,46912,15770,59093198,9421145,23764156,33163231,25929967,75980.02,14544.78,40946.49,55465.21,20514.81
44,20141104,2014,11,04,62,44,43.21,0.03,0.1,0,41420,8003,28268,36263,5157,30795156,5965311,17068285,23019785,7775371,46431.07,9418.76,30625.94,40031.95,6399.12
45,20141111,2014,11,11,62,41,44.07,0.22,0.0,0,39533,7864,27063,34933,4600,29386113,5629228,16605606,22238564,7147549,44357.32,9141.34,29654.74,38799.24,5558.08
46,20141118,2014,11,18,31,24,22.36,0.05,1.9,0,22456,4199,17024,21224,1232,14497526,2833237,9927687,12761593,1735933,22826.78,4397.03,16940.49,21338.33,1488.45
47,20141125,2014,11,25,52,48,31.0,1.14,0.9,0,20075,3593,15282,18876,1199,12457166,2380200,8662427,11057350,1399816,20164.47,3813.91,15084.54,18899.89,1264.58
48,20141202,2014,12,02,51,29,27.79,0.0,0.0,0,16353,2935,11159,14095,2258,11624732,2029618,6243083,8273426,3351306,16767.39,3046.76,11167.2,14214.77,2552.62
49,20141209,2014,12,09,40,32,32.64,0.2,0.0,0,22260,4170,16668,20840,1420,14370550,2825636,9533794,12360713,2009837,23556.48,4566.05,17254.81,21822.6,1733.88
50,20141216,2014,12,16,50,45,36.79,0.08,0.0,0,24198,4476,17485,21969,2229,16932160,3122858,10671449,13800131,3132029,25767.35,4944.06,18389.51,23338.35,2429.0
51,20141223,2014,12,23,48,38,31.57,0.51,0.0,0,19873,3450,14912,18362,1511,13139671,2197206,8936947,11134153,2005518,20788.54,3626.43,15528.4,19154.83,1633.71
52,20141230,2014,12,30,50,36,32.29,0.0,0.0,0,12036,1876,7650,9526,2510,9702936,1250193,4572525,5822718,3880218,12155.3,1991.95,7643.53,9635.48,2519.82
