day_of_year,day_of_week,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds
145,Sun,20140525,2014,05,25,83,50,66.5,0.0,0.0,0,16391,1282,3017,4299,12092,28325187,1236786,2558916,3795702,24529485
160,Mon,20140609,2014,06,09,78,55,66.5,0.0,0.0,0,10932,1984,5790,7774,3158,11193895,1866795,4190012,6056807,5137088
270,Sat,20140927,2014,09,27,79,54,66.5,0.0,0.0,0,12363,1870,3908,5778,6585,16263049,1579200,2997749,4576949,11686100
111,Mon,20140421,2014,04,21,74,58,66.0,0.0,0.0,0,6410,915,3649,4564,1846,6013896,704412,2463396,3167808,2846088
150,Fri,20140530,2014,05,30,79,53,66.0,0.0,0.0,0,12016,1874,6042,7916,4100,13174871,1625351,4512847,6138198,7036673
184,Thu,20140703,2014,07,03,76,56,66.0,0.07,0.0,0,13072,2300,6311,8612,4460,13818058,1889846,4430338,6320632,7497426
198,Thu,20140717,2014,07,17,78,54,66.0,0.0,0.0,0,13716,2695,7263,9958,3758,13546008,2261666,5099987,7361653,6184355
205,Thu,20140724,2014,07,24,75,57,66.0,0.0,0.0,0,13975,2566,7312,9878,4097,14319164,2144780,5162660,7307440,7011724
209,Mon,20140728,2014,07,28,73,59,66.0,0.0,0.0,0,12632,2259,6761,9020,3612,12228233,1819895,4648909,6468804,5759429
251,Mon,20140908,2014,09,08,77,55,66.0,0.0,0.0,0,11577,2243,6487,8736,2841,11033924,1816857,4521870,6343730,4690194
165,Sat,20140614,2014,06,14,79,52,65.5,0.0,0.0,0,16562,2320,4621,6941,9621,22565095,2317402,3858684,6176086,16389009
224,Tue,20140812,2014,08,12,70,61,65.5,0.07,0.0,0,9909,1960,5876,7836,2073,8095144,1490292,3781647,5271939,2823205
262,Fri,20140919,2014,09,19,78,53,65.5,0.0,0.0,0,11847,2127,6439,8566,3281,11065632,1746144,4263501,6009645,5055987
267,Wed,20140924,2014,09,24,77,54,65.5,0.0,0.0,0,10700,2297,6651,8948,1752,8934920,1895765,4392207,6287972,2646948
271,Sun,20140928,2014,09,28,78,53,65.5,0.0,0.0,0,11156,1774,3594,5368,5788,13337779,1507278,2599103,4106381,9231398
149,Thu,20140529,2014,05,29,76,54,65.0,0.0,0.0,0,10249,1805,5735,7540,2709,9788343,1535994,4048545,5584539,4203804
157,Fri,20140606,2014,06,06,81,49,65.0,0.0,0.0,0,13993,2185,6579,8764,5229,15447518,1859978,4792731,6652709,8794809
164,Fri,20140613,2014,06,13,75,55,65.0,0.0,0.0,0,13019,2242,6518,8761,4258,14000510,1932125,4645801,6578755,7421755
206,Fri,20140725,2014,07,25,75,55,65.0,0.0,0.0,0,13055,2236,6532,8768,4287,13700596,1861940,4663222,6525162,7175434
227,Fri,20140815,2014,08,15,78,52,65.0,0.0,0.0,0,14549,2412,6875,9287,5262,15752613,2105469,4850731,6956200,8796413
268,Thu,20140925,2014,09,25,74,56,65.0,0.0,0.0,0,10784,2132,6473,8607,2177,8989655,1722131,4196511,5920078,3069577
269,Fri,20140926,2014,09,26,79,51,65.0,0.0,0.0,0,12021,2111,6403,8514,3507,11280470,1673759,4283437,5957196,5323274
226,Thu,20140814,2014,08,14,72,57,64.5,0.0,0.0,0,13482,2467,7176,9642,3840,13529684,2038442,4975216,7012023,6517661
156,Thu,20140605,2014,06,05,76,52,64.0,0.0,0.0,0,11896,2130,6328,8458,3438,12006335,1864329,4548868,6413197,5593138
300,Mon,20141027,2014,10,27,77,51,64.0,0.0,0.0,0,9997,1849,6063,7912,2085,8894667,1550938,4136831,5684660,3210007
129,Fri,20140509,2014,05,09,73,54,63.5,1.03,0.0,0,7053,1027,3938,4965,2088,7600975,986575,2900053,3886628,3714347
148,Wed,20140528,2014,05,28,71,56,63.5,0.03,0.0,0,8511,1541,5267,6808,1703,7501198,1362764,3568662,4931426,2569772
197,Wed,20140716,2014,07,16,72,55,63.5,0.0,0.0,0,13249,2530,7148,9680,3569,13005795,2182440,5044008,7227583,5778212
127,Wed,20140507,2014,05,07,78,48,63.0,0.0,0.0,0,7491,1264,4656,5920,1571,7177589,1181425,3044650,4226075,2951514
159,Sun,20140608,2014,06,08,72,54,63.0,0.23,0.0,0,10901,1626,3274,4900,6001,13535075,1394240,2467726,3861966,9673109
183,Wed,20140702,2014,07,02,70,56,63.0,0.12,0.0,0,9657,1780,5702,7482,2175,8371844,1460298,3603676,5063974,3307870
155,Wed,20140604,2014,06,04,70,55,62.5,0.19,0.0,0,6239,1106,3969,5075,1164,5516488,1010374,2736402,3746776,1769712
196,Tue,20140715,2014,07,15,70,55,62.5,0.05,0.0,0,11920,2341,6718,9062,2858,10993603,1886904,4696135,6584747,4408856
266,Tue,20140923,2014,09,23,74,51,62.5,0.0,0.0,0,10717,2165,6691,8857,1860,9396672,1780680,4463690,6245227,3151445
102,Sat,20140412,2014,04,12,80,44,62.0,0.0,0.0,0,10956,1101,2738,3840,7116,16094885,1090947,2145335,3236567,12858318
130,Sat,20140510,2014,05,10,77,47,62.0,0.0,0.0,0,12879,1518,3429,4947,7932,18131142,1409228,2802586,4211814,13919328
162,Wed,20140611,2014,06,11,67,57,62.0,0.52,0.0,0,7629,1523,4924,6447,1182,6516144,1316023,3452780,4768803,1747341
142,Thu,20140522,2014,05,22,70,53,61.5,0.0,0.0,0,10135,1634,5738,7372,2763,9820827,1380553,4013307,5393860,4426967
261,Thu,20140918,2014,09,18,70,53,61.5,0.0,0.0,0,10549,2014,6395,8409,2140,9000557,1601158,4237796,5838954,3161603
286,Mon,20141013,2014,10,13,67,56,61.5,0.64,0.0,0,5898,1060,3716,4776,1122,4770039,786334,2288201,3074535,1695504
161,Tue,20140610,2014,06,10,66,56,61.0,1.26,0.0,0,4815,906,3248,4154,661,3743515,673552,1989917,2663469,1080046
144,Sat,20140524,2014,05,24,74,47,60.5,0.0,0.0,0,12922,1319,2899,4218,8704,18588703,1148541,2284283,3432824,15155879
298,Sat,20141025,2014,10,25,72,49,60.5,0.0,0.0,0,11010,1687,3757,5438,5572,13928786,1427475,2857215,4277170,9651616
110,Sun,20140420,2014,04,20,79,41,60.0,0.0,0.0,0,10028,841,2118,2959,7069,15287524,786300,1737153,2523453,12764071
264,Sun,20140921,2014,09,21,69,51,60.0,0.0,0.0,0,8014,1313,2939,4252,3762,9116110,1062962,2068919,3131881,5984229
133,Tue,20140513,2014,05,13,67,52,59.5,0.12,0.0,0,6536,1075,4280,5355,1181,5237827,808230,2657765,3465995,1771832
274,Wed,20141001,2014,10,01,70,49,59.5,0.0,0.0,0,10149,2104,6761,8866,1283,8039281,1699381,4450806,6150837,1888444
297,Fri,20141024,2014,10,24,67,52,59.5,0.0,0.0,0,8838,1657,5589,7240,1598,8786906,1557321,4411341,5957495,2829411
260,Wed,20140917,2014,09,17,70,48,59.0,0.0,0.0,0,10683,2202,6550,8753,1930,9192349,1808743,4395404,6205171,2987178
143,Fri,20140523,2014,05,23,69,48,58.5,0.0,0.0,0,10767,1620,5311,6931,3836,11090928,1390736,3768327,5159063,5931865
287,Tue,20141014,2014,10,14,65,52,58.5,0.65,0.0,0,2856,468,2113,2582,274,1898117,335094,1241855,1577749,320368
138,Sun,20140518,2014,05,18,69,47,58.0,0.0,0.0,0,11164,1358,3168,4526,6638,15451566,1290467,2562241,3852708,11598858
115,Fri,20140425,2014,04,25,70,45,57.5,0.22,0.0,0,8976,1239,4445,5684,3292,10114219,1115781,3196352,4312133,5802086
139,Mon,20140519,2014,05,19,69,45,57.0,0.0,0.0,0,9639,1438,5096,6534,3105,9966513,1172723,3548171,4720894,5245619
280,Tue,20141007,2014,10,07,66,48,57.0,0.0,0.0,0,9542,1945,6320,8268,1274,7694818,1502061,4162534,5666278,2028540
123,Sat,20140503,2014,05,03,67,46,56.5,0.0,0.0,0,9264,1111,2804,3915,5349,13023248,1006490,2139090,3145580,9877668
258,Mon,20140915,2014,09,15,62,51,56.5,0.0,0.0,0,8863,1714,5790,7506,1357,6882242,1258536,3738417,4997724,1884518
265,Mon,20140922,2014,09,22,67,46,56.5,0.0,0.0,0,10187,2045,6185,8231,1956,8703738,1607193,4100829,5709065,2994673
301,Tue,20141028,2014,10,28,68,45,56.5,0.0,0.0,0,8524,1638,5804,7442,1082,6234459,1190465,3524702,4715167,1519292
259,Tue,20140916,2014,09,16,68,44,56.0,0.0,0.0,0,10454,2128,6465,8593,1861,8837615,1774916,4376697,6151613,2686002
103,Sun,20140413,2014,04,13,69,42,55.5,0.43,0.0,0,3274,410,1215,1626,1648,3723476,288883,746490,1036076,2687400
293,Mon,20141020,2014,10,20,65,46,55.5,0.01,0.0,0,8538,1713,5548,7261,1277,6936502,1288728,3556334,4845062,2091440
290,Fri,20141017,2014,10,17,62,48,55.0,0.0,0.0,0,8469,1538,5340,6879,1590,7422664,1205924,3583102,4803862,2618802
90,Mon,20140331,2014,03,31,68,41,54.5,0.0,0.0,0,5596,889,3418,4308,1288,5317939,732167,2394507,3128236,2189703
281,Wed,20141008,2014,10,08,65,44,54.5,0.0,0.0,0,9734,1951,6437,8392,1342,7535997,1453212,4117763,5579533,1956464
276,Fri,20141003,2014,10,03,65,43,54.0,0.68,0.0,0,5957,1053,3983,5038,919,4439743,822340,2355423,3178907,1260836
100,Thu,20140410,2014,04,10,66,41,53.5,0.0,0.0,0,5990,1026,3837,4865,1125,5272895,924644,2604832,3530075,1742820
101,Fri,20140411,2014,04,11,70,37,53.5,0.0,0.0,0,8823,1187,4329,5518,3305,10254332,1068369,3077035,4145896,6108436
257,Sun,20140914,2014,09,14,65,42,53.5,0.0,0.0,0,10164,1634,3514,5148,5016,11852133,1434845,2522511,3957356,7894777
119,Tue,20140429,2014,04,29,59,47,53.0,0.61,0.0,0,5195,892,3687,4579,616,3944430,771069,2277263,3048332,896098
254,Thu,20140911,2014,09,11,56,50,53.0,0.0,0.0,0,8905,1768,5972,7743,1162,6703728,1458879,3742919,5204448,1499280
289,Thu,20141016,2014,10,16,56,50,53.0,0.0,0.0,0,7665,1486,5416,6902,763,5673602,1205847,3300572,4506419,1167183
299,Sun,20141026,2014,10,26,64,42,53.0,0.0,0.0,0,8069,1309,2788,4094,3975,9679394,1139372,1895728,3031957,6647437
273,Tue,20140930,2014,09,30,58,47,52.5,0.0,0.0,0,8222,1656,5758,7416,806,5869747,1188865,3553070,4743195,1126552
282,Thu,20141009,2014,10,09,62,43,52.5,0.0,0.0,0,9179,1832,6253,8085,1094,7044349,1418020,3911056,5329076,1715273
288,Wed,20141015,2014,10,15,55,50,52.5,0.05,0.0,0,6208,1268,4582,5851,357,4194860,982499,2760832,3743516,451344
307,Mon,20141103,2014,11,03,62,43,52.5,0.0,0.0,0,7503,1440,5309,6749,754,5773059,1321045,3317580,4638625,1134434
126,Tue,20140506,2014,05,06,63,41,52.0,0.0,0.0,0,7036,1190,4523,5713,1323,5904524,960876,2980150,3941026,1963498
308,Tue,20141104,2014,11,04,60,44,52.0,0.0,0.0,0,6867,1402,5072,6474,393,4663427,994455,3044402,4038857,624570
109,Sat,20140419,2014,04,19,66,37,51.5,0.0,0.0,0,7539,760,2076,2838,4701,10347228,675312,1497046,2173093,8174135
114,Thu,20140424,2014,04,24,64,39,51.5,0.06,0.0,0,5699,917,3831,4748,951,4844071,671241,2528766,3200007,1644064
279,Mon,20141006,2014,10,06,61,42,51.5,0.01,0.0,0,8379,1758,5545,7303,1076,6546729,1285990,3563368,4849358,1697371
314,Mon,20141110,2014,11,10,62,41,51.5,0.0,0.0,0,7264,1440,5015,6456,808,5464933,1161637,3184523,4347048,1117885
107,Thu,20140417,2014,04,17,62,40,51.0,0.0,0.0,0,6336,884,3649,4533,1803,6328369,754635,2464112,3218747,3109622
117,Sun,20140427,2014,04,27,60,42,51.0,0.03,0.0,0,3796,614,1695,2309,1487,3859709,524391,1121555,1645946,2213763
124,Sun,20140504,2014,05,04,58,44,51.0,0.0,0.0,0,4940,662,1838,2500,2440,5683686,490883,1176436,1667319,4016367
285,Sun,20141012,2014,10,12,63,38,50.5,0.01,0.0,0,8578,1321,2981,4302,4276,11571819,1266503,2176570,3443073,8128746
98,Tue,20140408,2014,04,08,60,40,50.0,0.02,0.0,0,4868,826,3378,4204,664,4158778,657430,2221516,2878946,1279832
118,Mon,20140428,2014,04,28,55,45,50.0,0.61,0.0,0,2732,389,2057,2446,286,1847594,293531,1144908,1438439,409155
134,Wed,20140514,2014,05,14,56,44,50.0,0.02,0.0,0,6684,1195,4409,5604,1080,5374436,976431,2829245,3805676,1568760
256,Sat,20140913,2014,09,13,59,41,50.0,0.0,0.0,0,9295,1640,3333,4973,4322,10339209,1343798,2349753,3693551,6645658
327,Sun,20141123,2014,11,23,52,48,50.0,0.63,0.0,0,1665,351,1012,1363,302,1174537,224469,556375,780844,393693
122,Fri,20140502,2014,05,02,53,46,49.5,0.0,0.0,0,5403,895,3651,4546,857,4677577,755298,2395361,3150659,1526918
137,Sat,20140517,2014,05,17,60,39,49.5,0.0,0.0,0,7430,1083,2712,3795,3635,8887601,888090,1917478,2805568,6082033
255,Fri,20140912,2014,09,12,55,44,49.5,0.13,0.0,0,5350,941,3714,4655,695,4060504,643503,2396040,3039543,1020961
125,Mon,20140505,2014,05,05,55,43,49.0,0.05,0.0,0,5586,853,3773,4626,960,4580930,682950,2338777,3021727,1559203
294,Tue,20141021,2014,10,21,53,45,49.0,0.0,0.0,0,7665,1659,5492,7153,512,5242448,1161743,3401230,4563763,678685
112,Tue,20140422,2014,04,22,61,36,48.5,0.0,0.0,0,6207,1021,3912,4936,1271,5268692,830646,2564702,3397198,1871494
116,Sat,20140426,2014,04,26,57,40,48.5,0.0,0.0,0,5902,736,2162,2898,3004,7038029,580769,1500310,2081079,4956950
283,Fri,20141010,2014,10,10,58,39,48.5,0.0,0.0,0,9159,1594,5715,7309,1850,7604458,1182442,3648344,4830786,2773672
120,Wed,20140430,2014,04,30,53,43,48.0,0.01,0.0,0,5181,877,3809,4686,495,3724553,652162,2394396,3046558,677995
99,Wed,20140409,2014,04,09,62,33,47.5,0.0,0.0,0,6322,1163,3942,5106,1216,6269294,1006944,2785581,3796435,2472859
135,Thu,20140515,2014,05,15,55,40,47.5,0.19,0.0,0,4399,679,3048,3727,672,3226737,455329,1863566,2318895,907842
284,Sat,20141011,2014,10,11,59,36,47.5,0.0,0.0,0,9389,1557,3051,4608,4781,11405136,1281619,2105889,3387508,8017628
296,Thu,20141023,2014,10,23,59,36,47.5,0.0,0.0,0,8032,1660,5671,7334,698,5706862,1296688,3466209,4765766,941096
348,Sun,20141214,2014,12,14,50,45,47.5,0.0,0.0,0,3224,674,1720,2394,830,2824684,457734,1105478,1563212,1261472
309,Wed,20141105,2014,11,05,60,34,47.0,0.0,0.0,0,7769,1625,5490,7116,653,5567664,1166141,3365388,4532237,1035427
69,Mon,20140310,2014,03,10,53,40,46.5,0.0,0.0,1,4060,671,2684,3355,705,3539536,550392,1742618,2293010,1246526
104,Mon,20140414,2014,04,14,63,30,46.5,0.3,1.4,0,1777,242,1360,1603,174,1213372,173306,705574,879160,334212
278,Sun,20141005,2014,10,05,55,37,46.0,0.01,0.0,0,5702,1058,2500,3558,2144,5701886,849308,1628072,2477380,3224506
121,Thu,20140501,2014,05,01,49,42,45.5,0.09,0.0,0,3296,531,2511,3042,254,2156795,386626,1396192,1782818,373977
295,Wed,20141022,2014,10,22,56,35,45.5,0.0,0.0,0,8212,1738,5714,7452,760,5862124,1258886,3472130,4731016,1131108
73,Fri,20140314,2014,03,14,53,37,45.0,0.0,0.0,2,3783,492,2500,2992,791,3409519,397403,1643264,2040667,1368852
97,Mon,20140407,2014,04,07,54,36,45.0,0.0,0.0,0,4253,731,2974,3706,547,3212368,690527,1862972,2553901,658467
86,Thu,20140327,2014,03,27,55,34,44.5,0.2,0.0,0,1945,240,1588,1828,117,1260241,167543,956474,1124017,136224
87,Fri,20140328,2014,03,28,55,34,44.5,0.06,0.0,0,2559,351,1907,2258,301,1840303,241743,1164335,1406078,434225
91,Tue,20140401,2014,04,01,57,32,44.5,0.0,0.0,0,3756,542,2782,3324,432,3194061,499933,1840568,2340501,853560
108,Fri,20140418,2014,04,18,51,38,44.5,0.0,0.0,0,5419,817,3027,3845,1574,5189784,755873,1902119,2658629,2531155
310,Thu,20141106,2014,11,06,51,38,44.5,0.0,0.0,0,5858,1161,4401,5563,295,3817634,813752,2602446,3417103,400531
315,Tue,20141111,2014,11,11,58,31,44.5,0.21,0.0,0,4764,926,3679,4605,159,3050221,568372,2249925,2818297,231924
80,Fri,20140321,2014,03,21,58,30,44.0,0.0,0.0,0,4199,612,2763,3375,824,3984710,575998,1969756,2545754,1438956
96,Sun,20140406,2014,04,06,57,31,44.0,0.0,0.0,0,4732,581,1598,2179,2553,5931440,461755,1162723,1624478,4306962
349,Mon,20141215,2014,12,15,46,42,44.0,0.06,0.0,0,3446,592,2544,3140,306,2400086,474785,1530166,2008623,391463
292,Sun,20141019,2014,10,19,54,33,43.5,0.0,0.0,0,6612,1169,2764,3933,2679,7394637,937063,1888304,2825367,4569270
313,Sun,20141109,2014,11,09,52,35,43.5,0.0,0.0,0,3629,770,1951,2721,908,3218153,540782,1131925,1672707,1545446
291,Sat,20141018,2014,10,18,50,36,43.0,0.01,0.0,0,4371,754,2219,2973,1398,3984234,608703,1401935,2010638,1973596
357,Tue,20141223,2014,12,23,48,38,43.0,0.19,0.0,0,3650,556,2642,3198,452,2577243,386430,1560885,1947315,629928
360,Fri,20141226,2014,12,26,50,36,43.0,0.0,0.0,0,2566,356,1252,1608,958,2659580,260805,819790,1080595,1578985
302,Wed,20141029,2014,10,29,49,36,42.5,0.0,0.0,0,7509,1528,5325,6851,658,4993259,1060205,3132022,4186453,806806
326,Sat,20141122,2014,11,22,52,33,42.5,0.07,0.0,0,2504,510,1592,2102,402,1934794,365268,1031393,1396661,538133
70,Tue,20140311,2014,03,11,50,34,42.0,0.14,0.4,0,3121,472,2349,2821,300,2317813,400783,1538809,1939592,378221
113,Wed,20140423,2014,04,23,51,33,42.0,0.02,0.0,0,5456,916,3716,4632,824,4139249,736439,2283335,3019774,1119475
51,Thu,20140220,2014,02,20,49,34,41.5,1.16,0.1,6,1005,129,855,984,21,708176,112332,571471,683803,24373
136,Fri,20140516,2014,05,16,46,37,41.5,0.1,0.0,0,3775,606,2756,3362,413,2711303,439186,1757989,2197175,514128
303,Thu,20141030,2014,10,30,51,32,41.5,0.0,0.0,0,7450,1374,5403,6775,675,5071594,968069,3147674,4112791,958803
312,Sat,20141108,2014,11,08,47,36,41.5,0.01,0.0,0,4091,811,2094,2905,1186,3875225,602248,1455884,2058132,1817093
89,Sun,20140330,2014,03,30,57,25,41.0,0.0,0.0,0,4865,585,1587,2173,2692,6419826,511929,1153742,1667703,4752123
94,Fri,20140404,2014,04,04,48,34,41.0,0.0,0.0,0,2609,351,2014,2366,243,1997294,304507,1276645,1582463,414831
95,Sat,20140405,2014,04,05,51,31,41.0,0.0,0.0,0,3994,564,1614,2178,1816,5009909,516461,1326353,1842814,3167095
277,Sat,20141004,2014,10,04,47,35,41.0,0.06,0.0,0,2944,641,1786,2427,517,2149114,453045,1000807,1453852,695262
347,Sat,20141213,2014,12,13,47,35,41.0,0.0,0.0,0,2805,627,1662,2289,516,2186995,479143,1019305,1498448,688547
78,Wed,20140319,2014,03,19,46,34,40.0,0.19,0.0,0,2015,261,1529,1790,225,1536620,190018,979888,1169906,366714
304,Fri,20141031,2014,10,31,47,33,40.0,0.03,0.1,0,4010,694,3063,3757,253,2555151,445629,1813105,2258734,296417
333,Sat,20141129,2014,11,29,51,29,40.0,0.0,0.0,0,2706,437,1189,1626,1080,2883345,404577,742141,1146718,1736627
361,Sat,20141227,2014,12,27,49,31,40.0,0.0,0.0,0,1300,243,750,993,307,1039059,174477,446005,620482,418577
77,Tue,20140318,2014,03,18,52,27,39.5,0.0,0.0,0,3684,598,2638,3237,447,2937229,466240,1680317,2147782,789447
92,Wed,20140402,2014,04,02,45,34,39.5,0.0,0.0,0,3733,583,2793,3378,355,2850904,526740,1696757,2225030,625874
93,Thu,20140403,2014,04,03,43,35,39.0,0.53,0.0,0,1745,267,1370,1637,108,1090787,189479,788899,978378,112409
106,Wed,20140416,2014,04,16,52,26,39.0,0.0,0.0,0,4298,704,3040,3745,553,3477907,680153,1923935,2606125,871782
79,Thu,20140320,2014,03,20,47,30,38.5,0.04,0.7,0,3108,468,2286,2754,354,2340356,362676,1413244,1775920,564436
306,Sun,20141102,2014,11,02,51,25,38.0,0.0,0.0,0,4460,875,2116,2987,1473,4212807,623138,1330474,1948527,2264280
358,Wed,20141224,2014,12,24,40,36,38.0,0.0,0.0,0,1173,177,916,1093,80,850155,117582,621781,739363,110792
359,Thu,20141225,2014,12,25,42,33,37.5,0.0,0.0,0,812,114,327,441,371,987505,99594,209247,308841,678664
50,Wed,20140219,2014,02,19,44,30,37.0,0.0,0.0,7,2235,330,1766,2096,139,1548861,258173,1126884,1385057,163804
334,Sun,20141130,2014,11,30,50,24,37.0,0.0,0.0,0,2048,464,1067,1531,517,1765165,336391,624831,961222,803943
350,Tue,20141216,2014,12,16,45,29,37.0,0.02,0.0,0,3728,636,2902,3541,187,2377201,394199,1803667,2199309,177892
328,Mon,20141124,2014,11,24,49,24,36.5,0.43,0.7,0,1993,345,1618,1964,29,1135085,222993,873192,1110908,24177
12,Sun,20140112,2014,01,12,44,28,36.0,0.0,0.0,1,996,203,664,867,129,868934,221130,425615,646745,222189
13,Mon,20140113,2014,01,13,45,27,36.0,0.0,0.0,0,2645,386,2116,2502,143,1705945,262273,1258101,1520374,185571
305,Sat,20141101,2014,11,01,43,29,36.0,0.0,0.0,0,3621,690,1980,2670,951,3525859,552770,1283028,1835798,1690061
311,Fri,20141107,2014,11,07,43,29,36.0,0.0,0.0,0,6158,1131,4433,5567,591,4392283,776296,2615515,3393040,999243
339,Fri,20141205,2014,12,05,40,32,36.0,0.0,0.0,0,4266,731,3264,3995,271,2711556,471155,1897300,2368455,343101
11,Sat,20140111,2014,01,11,40,31,35.5,0.06,0.0,2,829,145,618,763,66,600342,94669,421830,516499,83843
88,Sat,20140329,2014,03,29,41,28,34.5,0.0,0.0,0,1920,342,1088,1430,490,1808810,273261,749527,1022788,786022
342,Mon,20141208,2014,12,08,37,32,34.5,0.2,0.0,0,2440,429,1948,2377,63,1363208,260238,1044959,1305197,58011
343,Tue,20141209,2014,12,09,38,31,34.5,0.0,0.0,0,3000,514,2401,2916,84,2077237,466186,1510458,1976933,100304
356,Mon,20141222,2014,12,22,41,28,34.5,0.32,0.0,0,2064,349,1629,1978,86,1273749,223896,972256,1196152,77597
10,Fri,20140110,2014,01,10,40,27,33.5,0.8,0.0,9,823,88,705,793,30,545435,65239,453206,518445,26990
74,Sat,20140315,2014,03,15,40,27,33.5,0.0,0.2,0,1894,347,951,1298,596,2228734,337196,760235,1097431,1131303
