day_of_year,day_of_week,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds
330,Wed,20141126,2014,11,26,29,17,23.0,0.0,0.0,0,2635,494,2033,2527,108,1585372,304987,1147583,1452570,132802
31,Fri,20140131,2014,01,31,28,17,22.5,0.01,0.2,3,1570,175,1339,1514,56,997413,117712,789648,907360,90053
329,Tue,20141125,2014,11,25,26,18,22.0,0.01,0.2,0,3200,554,2537,3091,109,1815007,350852,1340004,1690856,124151
54,Sun,20140223,2014,02,23,28,15,21.5,0.0,0.0,3,789,160,524,684,105,555993,126137,304750,430887,125106
335,Mon,20141201,2014,12,01,25,18,21.5,0.0,0.0,0,3127,500,2513,3013,114,1820597,356737,1370625,1727362,93235
44,Thu,20140213,2014,02,13,32,10,21.0,0.0,0.1,11,1389,170,1179,1349,40,960191,128578,791349,919927,40264
60,Sat,20140301,2014,03,01,31,11,21.0,0.29,3.7,3,590,91,453,545,45,384362,61585,267703,330583,53779
64,Wed,20140305,2014,03,05,23,19,21.0,0.15,1.7,5,910,105,777,882,28,664646,73416,553592,627008,37638
325,Fri,20141121,2014,11,21,35,7,21.0,0.0,0.0,0,3708,607,2942,3549,159,2237889,385531,1702579,2088110,149779
331,Thu,20141127,2014,11,27,27,15,21.0,0.0,0.0,0,706,147,415,562,144,546404,100847,237228,338075,208329
324,Thu,20141120,2014,11,20,27,14,20.5,0.0,0.0,0,3424,609,2713,3322,102,1967976,374047,1496446,1870493,97483
25,Sat,20140125,2014,01,25,33,7,20.0,0.0,0.0,4,434,60,343,403,31,321287,38683,252004,290687,30600
63,Tue,20140304,2014,03,04,27,12,19.5,0.0,0.1,5,1521,200,1262,1462,59,1049259,145089,754064,899153,150106
15,Wed,20140115,2014,01,15,22,15,18.5,0.0,0.1,0,1734,213,1462,1675,59,1129481,131787,915177,1046964,82517
26,Sun,20140126,2014,01,26,31,6,18.5,0.17,2.4,5,329,58,252,310,19,225310,42043,156886,198929,26381
55,Mon,20140224,2014,02,24,25,12,18.5,0.0,0.0,2,1539,200,1306,1506,33,928370,136458,766517,902975,25395
